Provinsi,Segmentasi Wilayah,Tahun,Persentase
Maluku,Perkotaan,2021,91.27
Maluku,Perkotaan,2020,86.81
Maluku,Perdesaan,2024,80.4
Maluku,Perdesaan,2023,75.2
Maluku,Perdesaan,2022,75.17
Maluku,Perdesaan,2021,64.33
Maluku,Perdesaan,2020,48.1
Maluku Utara,Perkotaan,2024,96.21
Maluku Utara,Perkotaan,2023,91.69
Maluku Utara,Perkotaan,2022,91.4
Maluku Utara,Perkotaan,2021,88.62
Maluku Utara,Perkotaan,2020,89.53
Maluku Utara,Perdesaan,2024,83.39
Maluku Utara,Perdesaan,2023,77.67
Maluku Utara,Perdesaan,2022,72.19
Maluku Utara,Perdesaan,2021,61.04
Maluku Utara,Perdesaan,2020,50.57
Papua Barat,Perkotaan,2024,97.26
Papua Barat,Perkotaan,2023,94.01
Papua Barat,Perkotaan,2022,91.52
Papua Barat,Perkotaan,2021,92.43
Papua Barat,Perkotaan,2020,90.71
Papua Barat,Perdesaan,2024,80.47
Papua Barat,Perdesaan,2023,73.71
Papua Barat,Perdesaan,2022,68.76
Papua Barat,Perdesaan,2021,60.75
Papua Barat,Perdesaan,2020,60.05
Papua Barat Daya,Perkotaan,2024,96.31
Papua Barat Daya,Perkotaan,2023,
Papua Barat Daya,Perkotaan,2022,
Papua Barat Daya,Perkotaan,2021,
Papua Barat Daya,Perkotaan,2020,
Papua Barat Daya,Perdesaan,2024,79.71
Papua Barat Daya,Perdesaan,2023,
Papua Barat Daya,Perdesaan,2022,
Papua Barat Daya,Perdesaan,2021,
Papua Barat Daya,Perdesaan,2020,
Papua,Perkotaan,2024,93.93
Papua,Perkotaan,2023,87.31
Papua,Perkotaan,2022,84.93
Papua,Perkotaan,2021,83.98
Papua,Perkotaan,2020,81.54
Papua,Perdesaan,2024,63.9
Papua,Perdesaan,2023,18.73
Papua,Perdesaan,2022,17.25
Papua,Perdesaan,2021,16.67
Papua,Perdesaan,2020,18.21
Papua Selatan,Perkotaan,2024,90.76
Papua Selatan,Perkotaan,2023,
Papua Selatan,Perkotaan,2022,
Papua Selatan,Perkotaan,2021,
Papua Selatan,Perkotaan,2020,
Papua Selatan,Perdesaan,2024,51.7
Papua Selatan,Perdesaan,2023,
Papua Selatan,Perdesaan,2022,
Papua Selatan,Perdesaan,2021,
Papua Selatan,Perdesaan,2020,
Papua Tengah,Perkotaan,2024,95
Papua Tengah,Perkotaan,2023,
Papua Tengah,Perkotaan,2022,
Papua Tengah,Perkotaan,2021,
