Provinsi,Tahun,Segmentasi Wilayah,Persentase
Sulawesi Tengah,2021,Perdesaan,87.25
Sulawesi Tengah,2020,Perdesaan,85.1
Sulawesi Tenggara,2024,Perkotaan,97.86
Sulawesi Tenggara,2023,Perkotaan,97.14
Sulawesi Tenggara,2022,Perkotaan,97.92
Sulawesi Tenggara,2021,Perkotaan,96.26
Sulawesi Tenggara,2020,Perkotaan,96.4
Sulawesi Tenggara,2024,Perdesaan,96.82
Sulawesi Tenggara,2023,Perdesaan,93.88
Sulawesi Tenggara,2022,Perdesaan,95.6
Sulawesi Tenggara,2021,Perdesaan,93.21
Sulawesi Tenggara,2020,Perdesaan,92.22
Sulawesi Utara,2024,Perkotaan,97.19
Sulawesi Utara,2023,Perkotaan,95.18
Sulawesi Utara,2022,Perkotaan,95.58
Sulawesi Utara,2021,Perkotaan,96.64
Sulawesi Utara,2020,Perkotaan,96.47
Sulawesi Utara,2024,Perdesaan,93.1
Sulawesi Utara,2023,Perdesaan,89.16
Sulawesi Utara,2022,Perdesaan,90.57
Sulawesi Utara,2021,Perdesaan,89.85
Sulawesi Utara,2020,Perdesaan,90.35
Sumatera Barat,2024,Perkotaan,98.05
Sumatera Barat,2023,Perkotaan,97.05
Sumatera Barat,2022,Perkotaan,97.6
Sumatera Barat,2021,Perkotaan,96.23
Sumatera Barat,2020,Perkotaan,96.71
Sumatera Barat,2024,Perdesaan,94.6
Sumatera Barat,2023,Perdesaan,90.78
Sumatera Barat,2022,Perdesaan,92.76
Sumatera Barat,2021,Perdesaan,90.67
Sumatera Barat,2020,Perdesaan,90.3
Sumatera Selatan,2024,Perkotaan,97.06
Sumatera Selatan,2023,Perkotaan,96.5
Sumatera Selatan,2022,Perkotaan,97.05
Sumatera Selatan,2021,Perkotaan,96.97
Sumatera Selatan,2020,Perkotaan,96.45
Sumatera Selatan,2024,Perdesaan,94.35
Sumatera Selatan,2023,Perdesaan,91.4
Sumatera Selatan,2022,Perdesaan,93.17
Sumatera Selatan,2021,Perdesaan,90.79
Sumatera Selatan,2020,Perdesaan,90.73
Sumatera Utara,2024,Perkotaan,97.35
